Regulon	Size	NES	p.value	FDR
YLPM1	YLPM1	1291	-3.4	0.00067	0.0111
SPHK2	SPHK2	796	-3.4	0.000667	0.0111
ZIM2	ZIM2	697	-3.4	0.000664	0.0111
ANKRD1	ANKRD1	537	-3.43	0.000609	0.0111
ZKSCAN8	ZKSCAN8	542	-3.46	0.000539	0.0111
REST	REST	1118	-3.46	0.000538	0.0111
NEUROD2	NEUROD2	885	-3.46	0.000534	0.0111
AFF1	AFF1	902	-3.49	0.000481	0.0111
LHX3	LHX3	1208	-3.51	0.00045	0.0111
RUNX2	RUNX2	222	-3.52	0.000428	0.0111
AFF2	AFF2	992	-3.56	0.000374	0.0111
RXRB	RXRB	738	-3.61	0.000309	0.0111
HIF3A	HIF3A	608	-3.62	0.000299	0.0111
KAT7	KAT7	271	-3.62	0.000298	0.0111
TFDP3	TFDP3	1234	-3.64	0.000278	0.0111
TBR1	TBR1	365	-3.65	0.000262	0.0111
ZIC3	ZIC3	528	-3.67	0.00024	0.0111
FOXJ2	FOXJ2	395	-3.69	0.000227	0.0111
IKZF3	IKZF3	144	-3.7	0.000215	0.0111
ZNF3	ZNF3	488	-3.86	0.000112	0.0111
ZNF132	ZNF132	31	-3.98	6.76e-05	0.0111
AGTR2	AGTR2	251	-4.37	1.25e-05	0.00598
