Regulon	Size	NES	p.value	FDR
DRAP1	DRAP1	1968	3.56	0.000367	0.00303
HTT	HTT	626	3.55	0.000391	0.00307
MSC	MSC	1284	3.54	0.000393	0.00307
ZHX3	ZHX3	1795	3.53	0.000413	0.0031
ELK1	ELK1	3150	-3.53	0.00041	0.0031
HIST1H2BL	HIST1H2BL	352	-3.54	0.000402	0.00308
NEUROD2	NEUROD2	2461	-3.54	0.000401	0.00308
NKX3-1	NKX3-1	3299	-3.55	0.000388	0.00307
SOX13	SOX13	1040	-3.55	0.000384	0.00307
SPHK2	SPHK2	2394	-3.55	0.000381	0.00307
GNPTAB	GNPTAB	442	-3.56	0.000367	0.00303
SIM2	SIM2	1875	-3.57	0.000362	0.00303
ZSCAN32	ZSCAN32	688	-3.57	0.000357	0.00303
TFDP3	TFDP3	3015	-3.57	0.000355	0.00303
ZIM2	ZIM2	2147	-3.57	0.000352	0.00303
ANKRD1	ANKRD1	2052	-3.58	0.000348	0.00303
KDM5D	KDM5D	2578	-3.58	0.000337	0.00303
SNW1	SNW1	718	-3.6	0.000319	0.00303
SETD3	SETD3	1329	-3.62	0.000299	0.00295
RXRB	RXRB	2543	-3.62	0.000297	0.00295
MECOM	MECOM	2585	-3.62	0.000291	0.00295
SIM1	SIM1	235	-3.63	0.000279	0.00287
HOXC11	HOXC11	1140	-3.64	0.000272	0.00287
NR1I2	NR1I2	2278	-3.65	0.000265	0.00285
ZNF132	ZNF132	1036	-3.65	0.000265	0.00285
KAT7	KAT7	1567	-3.65	0.000263	0.00285
RFX4	RFX4	644	-3.65	0.000259	0.00285
SHOX	SHOX	2485	-3.66	0.00025	0.00285
LHX3	LHX3	2902	-3.67	0.000245	0.00285
RUNX2	RUNX2	1374	-3.68	0.000236	0.00285
BRF1	BRF1	2092	-3.68	0.000233	0.00285
HAND1	HAND1	2448	-3.68	0.00023	0.00285
AFF1	AFF1	2501	-3.68	0.00023	0.00285
NR2C1	NR2C1	1369	-3.69	0.000221	0.00285
HYAL1	HYAL1	1890	-3.7	0.000218	0.00285
MYF6	MYF6	1038	-3.7	0.000217	0.00285
IL1RL1	IL1RL1	2698	-3.7	0.000216	0.00285
REL	REL	420	-3.71	0.000211	0.00285
RAX	RAX	2424	-3.71	0.000208	0.00285
HNF1B	HNF1B	2626	-3.71	0.000207	0.00285
HIF3A	HIF3A	2542	-3.72	0.000199	0.00285
NR1H4	NR1H4	1287	-3.72	0.000199	0.00285
ZNF202	ZNF202	1147	-3.73	0.000191	0.00285
TCF21	TCF21	1015	-3.74	0.000183	0.00285
AGTR2	AGTR2	1752	-3.75	0.000175	0.00285
HOXD3	HOXD3	668	-3.76	0.000167	0.00285
TBR1	TBR1	2000	-3.77	0.000162	0.00285
CCRN4L	CCRN4L	3180	-3.8	0.000143	0.00285
ZKSCAN3	ZKSCAN3	776	-3.81	0.000139	0.00285
HIST1H3E	HIST1H3E	1639	-3.84	0.000124	0.00285
TFAP4	TFAP4	3522	-3.85	0.000116	0.00285
SP2	SP2	1114	-3.86	0.000115	0.00285
HIST1H2AL	HIST1H2AL	353	-3.86	0.000114	0.00285
SP100	SP100	1255	-3.87	0.00011	0.00285
ZNF3	ZNF3	2191	-3.89	9.86e-05	0.00285
ZNF189	ZNF189	826	-3.96	7.35e-05	0.00285
NR2E1	NR2E1	1148	-3.97	7.14e-05	0.00285
HESX1	HESX1	191	-3.99	6.54e-05	0.00285
ELK4	ELK4	1467	-4.01	6e-05	0.00285
ZKSCAN8	ZKSCAN8	2191	-4.05	5.07e-05	0.00285
H2AFX	H2AFX	1820	-4.05	5.03e-05	0.00285
DNPEP	DNPEP	611	-4.29	1.81e-05	0.00227
ZBTB25	ZBTB25	835	-4.46	8.22e-06	0.00178
SNAPC5	SNAPC5	556	-4.69	2.72e-06	0.00102
PCSK2	PCSK2	319	-4.73	2.24e-06	0.00102
