Regulon	Size	NES	p.value	FDR
MKRN3	MKRN3	11579	-3.74	0.000185	0.00259
ZKSCAN5	ZKSCAN5	10789	-3.75	0.00018	0.00259
RREB1	RREB1	11544	-3.75	0.000174	0.00259
RFX4	RFX4	10672	-3.77	0.000165	0.00259
ZRSR1	ZRSR1	11050	-3.77	0.000164	0.00259
NEUROG2	NEUROG2	11445	-3.78	0.000157	0.00259
YOD1	YOD1	10297	-3.79	0.000152	0.00259
CAMTA1	CAMTA1	5304	-3.79	0.000152	0.00259
ZNF506	ZNF506	11690	-3.79	0.000151	0.00259
PBRM1	PBRM1	10500	-3.79	0.000148	0.00259
ESR2	ESR2	11153	-3.8	0.000146	0.00259
MYT1L	MYT1L	11193	-3.8	0.000145	0.00259
FOXE1	FOXE1	10916	-3.8	0.000142	0.00259
SATB2	SATB2	10330	-3.81	0.000141	0.00259
SIM1	SIM1	10448	-3.81	0.000138	0.00259
RAG1	RAG1	10753	-3.82	0.000135	0.00259
ZMAT3	ZMAT3	10518	-3.82	0.000132	0.00259
MSX2	MSX2	11123	-3.83	0.000131	0.00259
ZNF419	ZNF419	10625	-3.83	0.000131	0.00259
ZNF586	ZNF586	5639	-3.83	0.00013	0.00259
HNF1A	HNF1A	11565	-3.84	0.000125	0.00259
CHD7	CHD7	11308	-3.84	0.000122	0.00259
MYB	MYB	8220	-3.85	0.000119	0.00259
ZNF780B	ZNF780B	11087	-3.85	0.000116	0.00259
FOXL1	FOXL1	11107	-3.86	0.000113	0.00259
NPAS3	NPAS3	11201	-3.86	0.000112	0.00259
TOX	TOX	10865	-3.87	0.000109	0.00259
RPA4	RPA4	11141	-3.87	0.000108	0.00259
SKIL	SKIL	11233	-3.87	0.000108	0.00259
ZNF667	ZNF667	10584	-3.9	9.68e-05	0.00259
ZNF157	ZNF157	10980	-3.9	9.59e-05	0.00259
ZBTB43	ZBTB43	9197	-3.91	9.35e-05	0.00259
POU4F1	POU4F1	11991	-3.91	9.33e-05	0.00259
SLC4A10	SLC4A10	8016	-3.91	9.17e-05	0.00259
MEOX2	MEOX2	11128	-3.91	9.16e-05	0.00259
HESX1	HESX1	11171	-3.91	9.14e-05	0.00259
ZNF345	ZNF345	10886	-3.92	8.85e-05	0.00259
ZBED4	ZBED4	11580	-3.95	7.72e-05	0.00259
ZNF80	ZNF80	9708	-3.98	6.85e-05	0.00259
SOX3	SOX3	10825	-3.99	6.67e-05	0.00259
DR1	DR1	11022	-4	6.28e-05	0.00259
TIGD6	TIGD6	10860	-4	6.23e-05	0.00259
ZNF674	ZNF674	8859	-4.1	4.22e-05	0.00259
ZNF234	ZNF234	9680	-4.11	3.92e-05	0.00259
ZFX	ZFX	8187	-4.13	3.57e-05	0.00259
POU2F3	POU2F3	5621	-4.26	2.06e-05	0.00259
