lista	Regulon	Size	NES	p.value	FDR
TFDBtop100mrs	IRX4	10819	-3.68	0.000237	0.00286
TFDBtop100mrs	HOXA1	12068	-3.69	0.000228	0.00286
TFDBtop100mrs	DMRT1	11323	-3.69	0.00022	0.00286
TFDBtop100mrs	ZNF334	11726	-3.7	0.00022	0.00286
TFDBtop100mrs	ZNF254	9602	-3.7	0.00022	0.00286
TFDBtop100mrs	ST18	11216	-3.7	0.000214	0.00286
TFDBtop100mrs	SOX30	10917	-3.71	0.000209	0.00286
TFDBtop100mrs	ZNF225	10796	-3.71	0.000205	0.00286
TFDBtop100mrs	ZNF682	11009	-3.71	0.000204	0.00286
TFDBtop100mrs	ZNF613	10427	-3.72	0.000201	0.00286
TFDBtop100mrs	CAMTA1	5304	-3.74	0.000181	0.00286
TFDBtop100mrs	RREB1	11544	-3.75	0.000178	0.00286
TFDBtop100mrs	ZKSCAN5	10789	-3.75	0.000177	0.00286
TFDBtop100mrs	RFX4	10672	-3.76	0.000171	0.00286
TFDBtop100mrs	SATB2	10330	-3.77	0.000165	0.00286
TFDBtop100mrs	ESR2	11154	-3.77	0.000162	0.00286
TFDBtop100mrs	ZNF614	11122	-3.78	0.000158	0.00286
TFDBtop100mrs	PBRM1	10500	-3.78	0.000155	0.00286
TFDBtop100mrs	SIM1	10448	-3.8	0.000146	0.00286
TFDBtop100mrs	MSX2	11124	-3.8	0.000146	0.00286
TFDBtop100mrs	FOXE1	10917	-3.8	0.000145	0.00286
TFDBtop100mrs	MYT1L	11194	-3.81	0.00014	0.00286
TFDBtop100mrs	ZNF586	5639	-3.81	0.000139	0.00286
TFDBtop100mrs	ZNF506	11691	-3.81	0.000138	0.00286
TFDBtop100mrs	ZNF419	10625	-3.83	0.000126	0.00286
TFDBtop100mrs	MYB	8221	-3.84	0.000125	0.00286
TFDBtop100mrs	NEUROG2	11446	-3.84	0.000123	0.00286
TFDBtop100mrs	HNF1A	11565	-3.84	0.000121	0.00286
TFDBtop100mrs	TOX	10865	-3.85	0.000116	0.00286
TFDBtop100mrs	ZNF780B	11088	-3.86	0.000112	0.00286
TFDBtop100mrs	NPAS3	11201	-3.87	0.000109	0.00286
TFDBtop100mrs	FOXL1	11107	-3.88	0.000105	0.00286
TFDBtop100mrs	ZNF667	10585	-3.89	0.000102	0.00286
TFDBtop100mrs	POU4F1	11991	-3.89	0.000102	0.00286
TFDBtop100mrs	ZBTB43	9197	-3.91	9.32E-05	0.00286
TFDBtop100mrs	HESX1	11172	-3.92	9.03E-05	0.00286
TFDBtop100mrs	MEOX2	11129	-3.92	8.94E-05	0.00286
TFDBtop100mrs	ZNF157	10981	-3.92	8.93E-05	0.00286
TFDBtop100mrs	ZNF345	10886	-3.93	8.56E-05	0.00286
TFDBtop100mrs	PIAS2	10932	-3.94	8.05E-05	0.00286
TFDBtop100mrs	ZBED4	11581	-3.95	7.90E-05	0.00286
TFDBtop100mrs	ZNF80	9708	-3.97	7.16E-05	0.00286
TFDBtop100mrs	SOX3	10825	-3.98	6.98E-05	0.00286
TFDBtop100mrs	ZNF674	8859	-4.11	3.90E-05	0.00286
TFDBtop100mrs	ZNF234	9680	-4.12	3.82E-05	0.00286
TFDBtop100mrs	ZFX	8188	-4.16	3.20E-05	0.00286
TFDBtop100mrs	POU2F3	5621	-4.26	2.06E-05	0.00286
VAQtop100mrs	GMEB2	11212	4.32	1.57E-05	0.00259
VAQtop100mrs	ZNF668	10910	4.26	2.05E-05	0.00259
VAQtop100mrs	ZNF142	5280	4.11	3.94E-05	0.00259
VAQtop100mrs	PHB2	11437	4.05	5.06E-05	0.00259
VAQtop100mrs	CIZ1	11620	4.01	6.07E-05	0.00259
VAQtop100mrs	PLXND1	12412	3.98	6.94E-05	0.00259
VAQtop100mrs	CPSF4	11104	3.97	7.08E-05	0.00259
VAQtop100mrs	VPS72	10235	3.93	8.38E-05	0.00259
VAQtop100mrs	IRF9	10924	3.89	9.96E-05	0.00259
VAQtop100mrs	IRF7	11341	3.88	0.000105	0.00259
VAQtop100mrs	DEAF1	11207	3.86	0.000112	0.00259
VAQtop100mrs	SREBF1	12206	3.85	0.000116	0.00259
VAQtop100mrs	ZBTB17	11578	3.85	0.000118	0.00259
VAQtop100mrs	E4F1	11843	3.84	0.000123	0.00259
VAQtop100mrs	MKRN1	12132	3.83	0.000127	0.00259
VAQtop100mrs	ZNF428	11843	3.83	0.000129	0.00259
VAQtop100mrs	NCOR1	8918	3.82	0.000132	0.00259
VAQtop100mrs	TOE1	10332	3.82	0.000136	0.00259
VAQtop100mrs	ZKSCAN4	4975	3.81	0.000137	0.00259
VAQtop100mrs	CREB3L2	11179	3.81	0.000138	0.00259
VAQtop100mrs	HIST1H1C	6932	3.81	0.000139	0.00259
VAQtop100mrs	CSDE1	11507	3.79	0.000148	0.00259
VAQtop100mrs	TERF2IP	10620	3.78	0.000154	0.00259
VAQtop100mrs	ZBED1	9810	3.78	0.000156	0.00259
VAQtop100mrs	MST1R	8622	3.78	0.000156	0.00259
VAQtop100mrs	MATR3	11979	3.76	0.000172	0.00259
VAQtop100mrs	ZC3H11A	9793	3.75	0.000177	0.00259
VAQtop100mrs	ATF4	11325	3.75	0.000177	0.00259
VAQtop100mrs	FOXO3	10834	3.75	0.000178	0.00259
VAQtop100mrs	HELZ	11057	3.73	0.000188	0.00259
VAQtop100mrs	TFCP2	9754	3.72	0.000195	0.00259
VAQtop100mrs	FOXK2	9568	3.72	0.000198	0.00259
VAQtop100mrs	ZNF593	11488	3.72	0.000198	0.00259
VAQtop100mrs	JUNB	12602	3.72	0.000198	0.00259
VAQtop100mrs	ZNF43	11328	3.72	0.000199	0.00259
VAQtop100mrs	PHF21A	9937	3.72	0.000199	0.00259
VAQtop100mrs	UBR4	10524	3.7	0.000212	0.00259
VAQtop100mrs	BOLA1	11447	3.7	0.000213	0.00259
VAQtop100mrs	NCOA1	11454	3.7	0.00022	0.00259
VAQtop100mrs	DUSP12	10741	3.69	0.000221	0.00259
VAQtop100mrs	PITX1	10425	3.68	0.000233	0.00259
VAQtop100mrs	HOXA1	12068	-3.69	0.000227	0.00259
VAQtop100mrs	ZNF334	11726	-3.69	0.000222	0.00259
VAQtop100mrs	ZNF254	9601	-3.7	0.00022	0.00259
VAQtop100mrs	DMRT1	11322	-3.7	0.000215	0.00259
VAQtop100mrs	WDHD1	12002	-3.7	0.000214	0.00259
VAQtop100mrs	SOX30	10917	-3.7	0.000212	0.00259
VAQtop100mrs	ZNF682	11008	-3.7	0.000211	0.00259
VAQtop100mrs	MKRN3	11579	-3.71	0.000211	0.00259
VAQtop100mrs	BRPF1	11374	-3.71	0.00021	0.00259
VAQtop100mrs	ZNF225	10796	-3.71	0.000208	0.00259
VAQtop100mrs	ST18	11215	-3.71	0.000208	0.00259
VAQtop100mrs	BNC1	11479	-3.71	0.000207	0.00259
VAQtop100mrs	ZNF613	10426	-3.71	0.000204	0.00259
VAQtop100mrs	ZFR	10255	-3.74	0.000185	0.00259
VAQtop100mrs	ZKSCAN5	10789	-3.75	0.000178	0.00259
VAQtop100mrs	RREB1	11544	-3.75	0.000176	0.00259
VAQtop100mrs	CAMTA1	5304	-3.75	0.000175	0.00259
VAQtop100mrs	RFX4	10672	-3.76	0.000169	0.00259
VAQtop100mrs	SATB2	10330	-3.77	0.000161	0.00259
VAQtop100mrs	ESR2	11153	-3.77	0.00016	0.00259
VAQtop100mrs	YOD1	10297	-3.78	0.000155	0.00259
VAQtop100mrs	PBRM1	10500	-3.79	0.000151	0.00259
VAQtop100mrs	RAG1	10753	-3.79	0.00015	0.00259
VAQtop100mrs	ZMAT3	10518	-3.79	0.00015	0.00259
VAQtop100mrs	MSX2	11123	-3.79	0.000149	0.00259
VAQtop100mrs	ZRSR1	11050	-3.79	0.000149	0.00259
VAQtop100mrs	SIM1	10448	-3.8	0.000147	0.00259
VAQtop100mrs	FOXE1	10916	-3.8	0.000143	0.00259
VAQtop100mrs	NEUROG2	11445	-3.8	0.000143	0.00259
VAQtop100mrs	MYT1L	11193	-3.8	0.000142	0.00259
VAQtop100mrs	ZNF506	11690	-3.81	0.00014	0.00259
VAQtop100mrs	ZNF586	5639	-3.81	0.000137	0.00259
VAQtop100mrs	MYB	8220	-3.82	0.000131	0.00259
VAQtop100mrs	ZNF419	10625	-3.83	0.000127	0.00259
VAQtop100mrs	HNF1A	11565	-3.84	0.000123	0.00259
VAQtop100mrs	TOX	10865	-3.85	0.000117	0.00259
VAQtop100mrs	CHD7	11308	-3.86	0.000115	0.00259
VAQtop100mrs	ZNF780B	11087	-3.86	0.000114	0.00259
VAQtop100mrs	NPAS3	11201	-3.86	0.000112	0.00259
VAQtop100mrs	RPA4	11141	-3.87	0.000108	0.00259
VAQtop100mrs	FOXL1	11107	-3.88	0.000105	0.00259
VAQtop100mrs	ZNF667	10584	-3.88	0.000103	0.00259
VAQtop100mrs	SKIL	11233	-3.89	0.000102	0.00259
VAQtop100mrs	POU4F1	11991	-3.89	0.000101	0.00259
VAQtop100mrs	ZNF157	10980	-3.9	9.46E-05	0.00259
VAQtop100mrs	HESX1	11171	-3.91	9.28E-05	0.00259
VAQtop100mrs	MEOX2	11128	-3.92	8.92E-05	0.00259
VAQtop100mrs	SLC4A10	8016	-3.92	8.85E-05	0.00259
VAQtop100mrs	ZBTB43	9197	-3.92	8.67E-05	0.00259
VAQtop100mrs	ZNF345	10886	-3.93	8.60E-05	0.00259
VAQtop100mrs	ZBED4	11580	-3.95	7.88E-05	0.00259
VAQtop100mrs	ZNF80	9708	-3.97	7.26E-05	0.00259
VAQtop100mrs	SOX3	10825	-3.99	6.74E-05	0.00259
VAQtop100mrs	TIGD6	10860	-3.99	6.62E-05	0.00259
VAQtop100mrs	DR1	11022	-4.01	6.17E-05	0.00259
VAQtop100mrs	ZNF234	9680	-4.11	3.94E-05	0.00259
VAQtop100mrs	ZNF674	8859	-4.12	3.87E-05	0.00259
VAQtop100mrs	ZFX	8187	-4.16	3.22E-05	0.00259
VAQtop100mrs	POU2F3	5621	-4.25	2.19E-05	0.00259
