Regulon	Size	NES	p.value	FDR	Ledge
ZNF471	ZNF471	10907	-3.67	0.00024	0.00286	PFDN6, MAPK9, CORT, UBE3A, + 7701 genes
ZNF639	ZNF639	3532	-3.67	0.00024	0.00286	C9orf33, CDC2L5, ATP1A3, DKFZP586I1420, + 3023 genes
IRX4	IRX4	10819	-3.68	0.000237	0.00286	216427_at, F5, ASXL1, PTPN9, + 7656 genes
HOXA1	HOXA1	12068	-3.69	0.000228	0.00286	PCDHB11, SLC30A3, KCNG2, CACNA1A, + 9024 genes
DMRT1	DMRT1	11323	-3.69	0.00022	0.00286	B9D1, KLRF1, RHOT1, 215727_x_at, + 8132 genes
ZNF334	ZNF334	11726	-3.7	0.00022	0.00286	DDX3Y, PLEKHA6, VCX2, NLRP1, + 8526 genes
ZNF254	ZNF254	9602	-3.7	0.00022	0.00286	NOD1, OSBPL3, NDUFS2, LYPLA1, + 6847 genes
ST18	ST18	11216	-3.7	0.000214	0.00286	BTD, MC3R, HEMK1, SPANXC, + 8193 genes
SOX30	SOX30	10917	-3.71	0.000209	0.00286	CEACAM1, XPNPEP2, TNRC6B, MGAT4A, + 8303 genes
ZNF225	ZNF225	10796	-3.71	0.000205	0.00286	C20orf7, CEBPD, MCTP1, CLDN4, + 6917 genes
ZNF682	ZNF682	11009	-3.71	0.000204	0.00286	ATG4B, 206777_s_at, DEK, LMBRD1, + 8072 genes
ZNF613	ZNF613	10427	-3.72	0.000201	0.00286	220531_at, MDM4, 218366_x_at, PPARGC1A, + 8299 genes
CAMTA1	CAMTA1	5304	-3.74	0.000181	0.00286	P2RY13, CLCF1, PTGES, HPD, + 3315 genes
RREB1	RREB1	11544	-3.75	0.000178	0.00286	SPTBN1, RIC3, MTSS1, KRT17, + 8650 genes
ZKSCAN5	ZKSCAN5	10789	-3.75	0.000177	0.00286	CACNG1, TXNL4B, RRP12, 215123_at, + 5988 genes
RFX4	RFX4	10672	-3.76	0.000171	0.00286	QRSL1, 215615_x_at, PAN2, DLAT, + 8093 genes
SATB2	SATB2	10330	-3.77	0.000165	0.00286	KCNAB3, CYP46A1, ARGLU1, HOXA11, + 6591 genes
ESR2	ESR2	11154	-3.77	0.000162	0.00286	ARHGAP28, CIITA, ZBTB20, BTD, + 8123 genes
ZNF614	ZNF614	11122	-3.78	0.000158	0.00286	220531_at, MDM4, 218366_x_at, PPARGC1A, + 7886 genes
PBRM1	PBRM1	10500	-3.78	0.000155	0.00286	220913_at, 216656_at, FXC1, KCNK2, + 7053 genes
SIM1	SIM1	10448	-3.8	0.000146	0.00286	STMN2, MYB, FBP1, ANKRD6, + 7864 genes
MSX2	MSX2	11124	-3.8	0.000146	0.00286	QRSL1, 215615_x_at, PAN2, TOM1L1, + 7997 genes
FOXE1	FOXE1	10917	-3.8	0.000145	0.00286	SPOCK2, NRG1, MFAP4, 220467_at, + 8266 genes
MYT1L	MYT1L	11194	-3.81	0.00014	0.00286	UCP1, EIF2AK1, 217631_at, HHEX, + 8653 genes
ZNF586	ZNF586	5639	-3.81	0.000139	0.00286	216477_at, CEACAM21, SCG3, PRKCDBP, + 3167 genes
ZNF506	ZNF506	11691	-3.81	0.000138	0.00286	SPA17, RALGPS1, EDEM3, CARD14, + 8588 genes
ZNF419	ZNF419	10625	-3.83	0.000126	0.00286	MYB, ANKRD6, PTDSS1, CCRL2, + 7455 genes
MYB	MYB	8221	-3.84	0.000125	0.00286	CAPN11, 222094_at, KIAA0391, LOC201229, + 5581 genes
NEUROG2	NEUROG2	11446	-3.84	0.000123	0.00286	MMP16, PROP1, SLC16A1, 215029_at, + 6518 genes
HNF1A	HNF1A	11565	-3.84	0.000121	0.00286	LOC647070, BCL2L11, BAMBI, PCLO, + 8767 genes
TOX	TOX	10865	-3.85	0.000116	0.00286	BTD, MC3R, HEMK1, SPANXC, + 8012 genes
ZNF780B	ZNF780B	11088	-3.86	0.000112	0.00286	QRSL1, 215615_x_at, PAN2, DLAT, + 8140 genes
NPAS3	NPAS3	11201	-3.87	0.000109	0.00286	DDX3Y, PLEKHA6, VCX2, NLRP1, + 8522 genes
FOXL1	FOXL1	11107	-3.88	0.000105	0.00286	QRSL1, 215615_x_at, PAN2, DLAT, + 7510 genes
ZNF667	ZNF667	10585	-3.89	0.000102	0.00286	LPL, GPM6B, CRELD2, DALRD3, + 7969 genes
POU4F1	POU4F1	11991	-3.89	0.000102	0.00286	C3orf18, ADCY9, JAG1, GIGYF2, + 7962 genes
ZBTB43	ZBTB43	9197	-3.91	9.32e-05	0.00286	SFTPA2, 219151_s_at, SLC6A9, RELA, + 4062 genes
HESX1	HESX1	11172	-3.92	9.03e-05	0.00286	RAP2A, 217581_at, OVOL2, USPL1, + 8236 genes
MEOX2	MEOX2	11129	-3.92	8.94e-05	0.00286	KIAA1644, 215805_at, BLCAP, MRPS18B, + 8023 genes
ZNF157	ZNF157	10981	-3.92	8.93e-05	0.00286	220531_at, MDM4, 218366_x_at, PPARGC1A, + 8392 genes
ZNF345	ZNF345	10886	-3.93	8.56e-05	0.00286	QRSL1, 215615_x_at, PAN2, TOM1L1, + 7783 genes
PIAS2	PIAS2	10932	-3.94	8.05e-05	0.00286	BTD, MC3R, HEMK1, SPANXC, + 7850 genes
ZBED4	ZBED4	11581	-3.95	7.9e-05	0.00286	SNAP25, ZNF711, RBM47, CEP135, + 8473 genes
ZNF80	ZNF80	9708	-3.97	7.16e-05	0.00286	THRAP3, MARCH3, FEN1, 217345_at, + 7203 genes
SOX3	SOX3	10825	-3.98	6.98e-05	0.00286	217587_at, RABIF, 210069_at, OPN1SW, + 7372 genes
ZNF674	ZNF674	8859	-4.11	3.9e-05	0.00286	ARAP3, HCG4P6, AKAP11, FSCN3, + 6915 genes
ZNF234	ZNF234	9680	-4.12	3.82e-05	0.00286	THRAP3, MARCH3, FEN1, 217345_at, + 6849 genes
ZFX	ZFX	8188	-4.16	3.2e-05	0.00286	TMPRSS11D, PIGF, SLC39A2, KDM2A, + 6323 genes
POU2F3	POU2F3	5621	-4.26	2.06e-05	0.00286	GP6, IL32, SENP6, EHD4, + 4918 genes
