Regulon	Size	NES	p.value	FDR
MYST2	MYST2	9967	-3.82	0.000132	0.00241
IL2	IL2	10892	-3.83	0.00013	0.00241
MSX2	MSX2	11123	-3.83	0.000129	0.00241
RQCD1	RQCD1	11663	-3.83	0.000128	0.00241
IKBKAP	IKBKAP	10618	-3.83	0.000126	0.00241
ZNF419	ZNF419	10625	-3.84	0.000125	0.00241
DAXX	DAXX	10808	-3.84	0.000123	0.00241
CHD7	CHD7	11308	-3.84	0.000122	0.00241
FOXL1	FOXL1	11107	-3.85	0.000117	0.00241
ZNF780B	ZNF780B	11087	-3.85	0.000117	0.00241
HNF1A	HNF1A	11565	-3.85	0.000116	0.00241
NPAS3	NPAS3	11201	-3.86	0.000115	0.00241
SCAND2	SCAND2	10836	-3.87	0.000107	0.00241
SKIL	SKIL	11233	-3.88	0.000106	0.00241
POU4F1	POU4F1	11991	-3.88	0.000105	0.00241
ZFAND5	ZFAND5	11432	-3.89	0.000101	0.00241
ZNF667	ZNF667	10584	-3.89	1e-04	0.00241
ZBTB43	ZBTB43	9197	-3.89	9.89e-05	0.00241
ZNF157	ZNF157	10980	-3.9	9.8e-05	0.00241
MEOX2	MEOX2	11128	-3.9	9.7e-05	0.00241
IL17A	IL17A	10730	-3.91	9.39e-05	0.00241
HESX1	HESX1	11171	-3.91	9.06e-05	0.00241
BLZF1	BLZF1	11237	-3.93	8.5e-05	0.00241
TAF9B	TAF9B	9114	-3.94	8.29e-05	0.00241
EREG	EREG	9329	-3.95	7.98e-05	0.00241
USP22	USP22	11614	-3.96	7.57e-05	0.00241
PIAS2	PIAS2	10931	-3.96	7.5e-05	0.00241
ZBED4	ZBED4	11580	-3.96	7.46e-05	0.00241
IL11	IL11	11217	-3.96	7.46e-05	0.00241
PTH	PTH	10447	-3.98	7.03e-05	0.00241
ZNF80	ZNF80	9708	-3.98	6.83e-05	0.00241
MSTN	MSTN	8692	-3.99	6.51e-05	0.00241
SOX3	SOX3	10825	-4	6.42e-05	0.00241
DR1	DR1	11022	-4	6.25e-05	0.00241
TIGD6	TIGD6	10860	-4.02	5.93e-05	0.00241
ALS2CR8	ALS2CR8	10454	-4.03	5.62e-05	0.00241
HTATIP2	HTATIP2	9220	-4.03	5.58e-05	0.00241
ZNF185	ZNF185	5768	-4.04	5.34e-05	0.00241
C11orf30	C11orf30	6670	-4.05	5.07e-05	0.00241
TLE4	TLE4	11159	-4.08	4.46e-05	0.00241
SUV39H2	SUV39H2	9191	-4.08	4.42e-05	0.00241
ZNF674	ZNF674	8859	-4.11	4.03e-05	0.00241
ZNF234	ZNF234	9680	-4.11	4.02e-05	0.00241
ZFX	ZFX	8187	-4.14	3.45e-05	0.00241
RNF2	RNF2	7942	-4.16	3.18e-05	0.00241
BRWD1	BRWD1	8213	-4.16	3.13e-05	0.00241
POU2F3	POU2F3	5621	-4.23	2.35e-05	0.00241
RCHY1	RCHY1	6300	-4.27	1.96e-05	0.00241
C2orf3	C2orf3	8859	-4.32	1.54e-05	0.00241
TMF1	TMF1	10114	-4.41	1.03e-05	0.00241
