Regulon	Size	NES	p.value	FDR
MYB	MYB	8221	-3.86	0.000114	0.00278
ZNF780B	ZNF780B	11088	-3.86	0.000113	0.00278
FOXL1	FOXL1	11107	-3.86	0.000113	0.00278
NPAS3	NPAS3	11201	-3.87	0.000109	0.00278
TOX	TOX	10865	-3.87	0.000108	0.00278
ZBTB43	ZBTB43	9197	-3.89	0.000101	0.00278
ZNF667	ZNF667	10585	-3.9	9.62e-05	0.00278
POU4F1	POU4F1	11991	-3.9	9.42e-05	0.00278
MEOX2	MEOX2	11129	-3.91	9.21e-05	0.00278
ZNF157	ZNF157	10981	-3.91	9.07e-05	0.00278
HESX1	HESX1	11172	-3.92	8.89e-05	0.00278
ZNF345	ZNF345	10886	-3.92	8.82e-05	0.00278
ZBED4	ZBED4	11581	-3.95	7.75e-05	0.00278
PIAS2	PIAS2	10932	-3.96	7.55e-05	0.00278
SOX3	SOX3	10825	-3.98	6.91e-05	0.00278
ZNF80	ZNF80	9708	-3.98	6.76e-05	0.00278
ZNF674	ZNF674	8859	-4.09	4.25e-05	0.00278
ZNF234	ZNF234	9680	-4.12	3.81e-05	0.00278
ZFX	ZFX	8188	-4.13	3.57e-05	0.00278
POU2F3	POU2F3	5621	-4.27	1.94e-05	0.00278
