Regulon	Size	NES	p.value	FDR
CSDA	CSDA	10764	3.66	0.000249	0.0027
HNRNPK	HNRNPK	11681	3.66	0.000255	0.0027
HDAC5	HDAC5	11485	3.64	0.000269	0.0027
TGIF1	TGIF1	10618	3.64	0.000272	0.0027
ZNF135	ZNF135	9447	-3.64	0.00027	0.0027
ZNF175	ZNF175	11793	-3.65	0.000265	0.0027
ZNF33B	ZNF33B	10136	-3.65	0.000264	0.0027
HOXB6	HOXB6	10563	-3.66	0.000256	0.0027
HOXA1	HOXA1	12068	-3.67	0.00024	0.0027
HLF	HLF	11649	-3.67	0.000238	0.0027
IRX4	IRX4	10819	-3.68	0.000233	0.0027
BNC1	BNC1	11480	-3.68	0.000231	0.0027
ZNF639	ZNF639	3531	-3.69	0.000225	0.0027
KDM4C	KDM4C	11129	-3.69	0.000225	0.0027
ST18	ST18	11215	-3.69	0.000223	0.0027
SOX30	SOX30	10917	-3.69	0.000222	0.0027
LOC100130354	LOC100130354	10848	-3.7	0.000213	0.0027
DMRT1	DMRT1	11323	-3.73	0.000195	0.0027
RREB1	RREB1	11544	-3.76	0.000171	0.0027
RFX4	RFX4	10672	-3.77	0.000166	0.0027
ZKSCAN5	ZKSCAN5	10789	-3.77	0.000163	0.0027
ELSPBP1	ELSPBP1	11224	-3.79	0.00015	0.0027
MYT1L	MYT1L	11194	-3.79	0.000149	0.0027
ESR2	ESR2	11154	-3.8	0.000147	0.0027
SATB2	SATB2	10330	-3.8	0.000144	0.0027
SIM1	SIM1	10448	-3.8	0.000144	0.0027
FOXE1	FOXE1	10917	-3.81	0.000141	0.0027
SNAPC5	SNAPC5	11879	-3.81	0.00014	0.0027
MSX2	MSX2	11124	-3.81	0.000137	0.0027
MYST2	MYST2	9967	-3.82	0.000133	0.0027
DAXX	DAXX	10808	-3.84	0.000125	0.0027
HNF1A	HNF1A	11565	-3.84	0.000122	0.0027
MYB	MYB	8221	-3.84	0.000122	0.0027
FOXL1	FOXL1	11107	-3.85	0.000117	0.0027
SCAND2	SCAND2	10836	-3.86	0.000112	0.0027
MEOX2	MEOX2	11129	-3.9	9.79e-05	0.0027
ZNF157	ZNF157	10980	-3.9	9.69e-05	0.0027
POU4F1	POU4F1	11991	-3.9	9.49e-05	0.0027
HESX1	HESX1	11172	-3.92	9.01e-05	0.0027
HIST1H2AL	HIST1H2AL	10431	-3.92	8.83e-05	0.0027
BLZF1	BLZF1	11238	-3.92	8.81e-05	0.0027
H2AFJ	H2AFJ	8038	-3.93	8.47e-05	0.0027
TAF9B	TAF9B	9114	-3.94	8.2e-05	0.0027
FUT1	FUT1	7520	-3.95	7.87e-05	0.0027
ZNF80	ZNF80	9708	-3.97	7.26e-05	0.0027
PTH	PTH	10447	-3.98	6.89e-05	0.0027
SOX3	SOX3	10825	-3.98	6.82e-05	0.0027
ALS2CR8	ALS2CR8	10454	-3.99	6.54e-05	0.0027
DR1	DR1	11023	-4	6.28e-05	0.0027
TLE4	TLE4	11159	-4.08	4.45e-05	0.0027
ZFX	ZFX	8187	-4.14	3.49e-05	0.0027
POU2F3	POU2F3	5621	-4.25	2.11e-05	0.0027
C2orf3	C2orf3	8859	-4.34	1.43e-05	0.0027
